Source	Target	Type
109382115	oro	Undirected
109382115	palabras	Undirected
109382115	ud	Undirected
109382115	venezuela	Undirected
109382115	verdad	Undirected
1094301498	#buenarumba	Undirected
1094301498	#diversion	Undirected
1094301498	#gravity	Undirected
1094301498	#lights	Undirected
1094301498	#premium	Undirected
1094301498	#viernes	Undirected
1094301498	casa	Undirected
1094301498	gracias	Undirected
1094301498	onfriday	Undirected
109490087	roa	Undirected
109490087	saludo	Undirected
109512160	for	Undirected
109512160	im	Undirected
109512160	skjfdsfnsdjf	Undirected
1098227526	comprarme	Undirected
1098227526	duro	Undirected
1098227526	mal	Undirected
1098891031	ai	Undirected
1098891031	alguém	Undirected
1098891031	com	Undirected
1098891031	desliga	Undirected
1098891031	fiz	Undirected
1098891031	numero	Undirected
1098891031	prazer	Undirected
1098891031	tudo	Undirected
1099513272	😑	Undirected
110030443	@cvstlenova	Undirected
110030443	am	Undirected
110030443	and	Undirected
110030443	bruhhh	Undirected
110030443	do	Undirected
110030443	for	Undirected
110030443	god	Undirected
110030443	his	Undirected
110030443	how	Undirected
110030443	is	Undirected
110030443	know	Undirected
110030443	my	Undirected
110030443	name	Undirected
110030443	not	Undirected
110030443	now	Undirected
110030443	of	Undirected
110030443	one	Undirected
110030443	out	Undirected
110030443	sc	Undirected
110030443	them	Undirected
110030443	this	Undirected
110030443	💀	Undirected
110030443	😂	Undirected
110030443	😘	Undirected
110030443	😪	Undirected
110030443	😭	Undirected
110213982	agua	Undirected
110213982	comida	Undirected
110213982	limpia	Undirected
110213982	luz	Undirected
110213982	revolucionarios	Undirected
1105318854	#finalfatmagul	Undirected
1105318854	#hastasiemprefatmagul	Undirected
1105318854	#labodadefatmagulykerim	Undirected
1105318854	#messi	Undirected
1105318854	años	Undirected
1105318854	brutalidad	Undirected
1105318854	conmovedor	Undirected
1105318854	conquisto	Undirected
1105318854	crack	Undirected
1105318854	ecuador	Undirected
1105318854	excelente	Undirected
1105318854	feliz	Undirected
1105318854	gracias	Undirected
1105318854	grande	Undirected
1105318854	palabras	Undirected
1105318854	parecido	Undirected
1105318854	sentido	Undirected
1105318854	social	Undirected
1105318854	solo	Undirected
1105318854	turcas	Undirected
1105318854	época	Undirected
1105318854	🇷	Undirected
1105318854	🇹	Undirected
1105318854	👌	Undirected
1105318854	👍	Undirected
1105318854	👏	Undirected
1105318854	📺	Undirected
1105318854	😊	Undirected
1105318854	😘	Undirected
110842397	fofa	Undirected
110842397	gosta	Undirected
110842397	mais	Undirected
110842397	muito	Undirected
110842397	preço	Undirected
110842397	relatos	Undirected
110842397	simples	Undirected
110842397	um	Undirected
110842397	uma	Undirected
110842397	verdade	Undirected
1110501908	posible	Undirected
111083666	@zaynmalik	Undirected
111083666	i	Undirected
111083666	júzguenme	Undirected
111083666	like	Undirected
111083666	mierda	Undirected
111083666	would	Undirected
111124747	traaaaaaa	Undirected
111350895	corazón	Undirected
111350895	detalles	Undirected
1115183952	casa	Undirected
1115425291	😚	Undirected
1115425291	😢	Undirected
1115425291	😳	Undirected
1119586958	bicho	Undirected
1119586958	bossy	Undirected
1119586958	bye	Undirected
1119586958	duro	Undirected
1119586958	fresh	Undirected
1119586958	hora	Undirected
1119586958	latin	Undirected
1119586958	lion	Undirected
1119586958	malo	Undirected
1119586958	onda	Undirected
1119586958	plenas	Undirected
1119586958	puras	Undirected
1119586958	sueño	Undirected
1119586958	v	Undirected
1119586958	vamo	Undirected
1119586958	xd	Undirected
1119586958	💋	Undirected
1119586958	😂	Undirected
1121419172	corazón	Undirected
1121419172	pinguino	Undirected
112163686	#caracas	Undirected
112163686	#jun	Undirected
112163686	#venezuela	Undirected
112163686	amistad	Undirected
112163686	años	Undirected
112478470	friendzone	Undirected
112478470	inesperado	Undirected
112478470	profundo	Undirected
112478470	suerte	Undirected
112478470	😂	Undirected
112478470	😱	Undirected
112599121	pensamientos	Undirected
1126193143	celos	Undirected
1126193143	feito	Undirected
1126193143	ja	Undirected
1126193143	jeje	Undirected
1126193143	noche	Undirected
1126193143	tweet	Undirected
1126193143	visto	Undirected
1126193143	yhan	Undirected
1129654105	cundinamarca	Undirected
1129654105	gran	Undirected
1129654105	noche	Undirected
1129654105	vega	Undirected
1129654105	🎁	Undirected
1129654105	🎉	Undirected
1135574096	ernesto	Undirected
1135574096	futuros	Undirected
1135574096	melancolía	Undirected
1135574096	recuerdos	Undirected
1135574096	vez	Undirected
1137625718	cuidado	Undirected
1137625718	ten	Undirected
1137625718	tuitazo	Undirected
1137625718	vida	Undirected
1137625718	🏼	Undirected
1137625718	👏	Undirected
1137625718	😏	Undirected
113779973	#foreveralone	Undirected
113779973	aqui	Undirected
113779973	😂	Undirected
1140164670	propio	Undirected
114293910	locura	Undirected
114293910	mérida	Undirected
114293910	solo	Undirected
114293910	tierra	Undirected
114293910	unidos	Undirected
1143014989	@douglasricovzla	Undirected
1143014989	casas	Undirected
1143014989	d	Undirected
1143014989	edo	Undirected
1143014989	favor	Undirected
1143014989	robos	Undirected
1143014989	vargas	Undirected
114355750	cold	Undirected
114355750	cosas	Undirected
114355750	enamorado	Undirected
114355750	hot	Undirected
