source	target
230788749	'm
2696424289	'n
2247649651	're
842874800	're
131710988	're
602506633	're
1078253940	're
433762102	're
4842491773	're
277055646	's
192403175	's
105651598	's
627649588	's
602506633	's
160317536	's
260268494	's
542536067	's
334873503	's
729285654736162816	's
104834449	's
25596981	's
90475043	's
329197447	's
219310785	's
42118566	's
750148320	's
4623563837	's
440358015	**
178169405	***
1140164670	--
191033442	--
429803867	--
144641131	--
703805636	--
429803867	-----
1895066269	-11
554666463	-30
2382745279	-lsb-
561882807	-lsb-
550261599	-lsb-
263465864	-lsb-
263465864	-rsb-
561882807	-rsb-
550261599	-rsb-
1898222191	0lizethrobayo6
553909607	100gb
336231847	11am
185466054	123xnana
556509016	123xnana
1924177310	123youyube
822308690	12akarla
2939078896	12am
71123010	12guerreros
71123010	12hhhernandez
3093197289	14mc67
2922222515	17-04-18
339715629	1933-2011
339715629	1959-1996
1027354242	19catalina47
396967876	1:50
90475043	1am
2588418271	1am
1207806781	1dstaywithus
406486684	1er
80400081	1hgtqpghava
14217979	1jcvision
1180020318	2016/6/24
1182074978	2016/6/25
17916058	2016/6/25
1180020318	2016/6/25
38045676	24-06-14
356309419	24hrs
3642467481	25junio
147318316	2am
3004426973	2kparty
2872093200	321fuckyou
189611130	3d
465666812	3mc
807535734	4am
3204067018	50tons
179710447	5h
237001147	5kpoint
286867815	5ta
85930961	6am
284163706	6am
2463836414	6d
553074269	727tour
3098019551	7yearswithoutmichaeljackson
805005896	7yearswithoutmichaeljackson
139824862	8pm
141373547	9pm
355756376	9video
2861996363	9video
559415987	:-d
60848456	:-d
550261599	:23
2840847243	:3
61732880	:3
85930961	:3
279304406	:3
201515412	:3
128715803	:3
332626891	:3
176545434	<
584353966	<
2939078896	<
164315750	<
194811402	<
2981567788	<
800754240	<
1587221360	<
872232643	<
126714093	<
91282238	<
939393300	<
147998951	<
379351789	<
2858061076	<
1335212304	<
497902664	<
172617650	<
1252114795	=
459428374	=
3878575115	=
143265577	>
2324769950	>
109126744	>
116363490	>
445590046	>
367463372	>
623900809	>
1587221360	>
2411742104	>
229352625	>
729038346467545089	>
165971852	>
2835601896	?!
858800774	?!
188885751	?!
1228929266	?!!
187397892	??
420705508	??
182072135	??
1099513272	??
2981567788	??
141373547	??
4860690358	??
325871252	??
353314853	??
2546650490	??
399019821	??
386185904	??
249282063	??
291479164	??
2912244935	???
102833442	???
4160935539	???
2310335604	???
1885001828	???
118901460	???
102159162	???
301187616	???
2696424289	???
468660774	???!?!!?!!?
263989782	????
1421399868	?????
2939078896	?????
577184596	????????????????????
466125194	@abandonadostv
15267986	@abejamaya
786196795	@abialbornozp
41001896	@abinationx
4826553718	@abrahammateomus
194811402	@abstractico
1217543922	@activocabimas31
17572957	@actualidadpanam
331955801	@addictivechris
3302034868	@adiazgranados
273729393	@adlpp
87261554	@adrianamonsalve
322203077	@adrianastyles
190765500	@adrianrafa
156008764	@afms1912
268084620	@again679
321048493	@againmendes
2914297788	@aintriagoarb
75828177	@ajaokpero
53311422	@akadou
3735136395	@albertodn
395600034	@alcaldiademed
245839834	@alcaldiademed
322203077	@alejandradc5
281328786	@alejandraluciaa
1941624355	@alejomc
150073438	@aleltbd
466125194	@aleromeroc
923426774	@alestilojuliana
220057539	@alexaiono
2192612209	@alexforall7
3383281671	@alexforall7
2192612209	@alexg8403
19057251	@alexthewriter33
3383281671	@alexxxactmcy
2192612209	@alexxxactmcy
517964376	@alexxxstrecci
135923975	@alfaromoreno
174806285	@algunlugargye
87261554	@alinamoine
190705291	@allanrys
109382115	@almagrooea2015
127399472	@almagrooea2015
2463836414	@almagrooea2015
4766531708	@almeeidapedro
60848456	@aloagimbabura
194316300	@alvaradojuanp
303405376	@alvarouribevel
17572957	@alvarouribevel
100109429	@alvarouribevel
3010689082	@alwaywithagus
2882198099	@amalade
202021730	@amandahidalgoa
634950417	@amazingphil
102159162	@ameliachpsuv
42118566	@americanexpress
355756376	@ammalaga
2882198099	@amorvipcom
172617650	@amzyvallenas
43896804	@anabrendac
335671327	@anahi
242553554	@anaowenj
227422441	@anariascos
11811092	@andc78
87261554	@andreaguerreroq
2535858931	@andreamichelleq
87261554	@andreaschettino
86461130	@andreeantunes
87261554	@andresbalanjr
201515412	@andrescamilohr
49723053	@andrescderes
378894922	@andresdejesusmp
345517723	@andrespaezec
1123745592	@andresparra7
477171147	@andrespastores
3060396744	@andresperezap
263413113	@andresusugah
190705291	@andriuuka
87261554	@andyfarinaespn
736582256802824192	@anettseriously
87261554	@angelalerena
305222657	@angelcaraballop
3761905815	@angelicalozanoc
152127144	@angelicamum
2861996363	@angsdice
87261554	@anibosterisima
2671098944	@anitta
302872962	@annarquia
117292197	@anneryslopez
373637530	@annisapanama
2428114045	@anuel2blea
2428114045	@anuelaa
2593776893	@anyagomezg
87261554	@anylumetto
2192612209	@apelocaliente
135674601	@applemusic
257080749	@aranxadutary
102490520	@araujoviitor
101379290	@arcticacete
3874082105	@arianagrande
2976028113	@arigameplays
258017762	@ariportesm
87261554	@arizuazo
217146330	@armandomarval
2416848020	@arrechounico
93081811	@arthurvhm
295262744	@astridfiorella
327362705	@astridgonzalez
386250908	@astrokarla
434665733	@astronaut
20803430	@atamizindeyiz13
353877891	@atmeodlasm
322203077	@auracardenaas
396117650	@avalentinarc
4766531708	@avilaoavilaa
142948488	@aycaroola
277562069	@aycaroola
336876865	@ayosmonica
3161489278	@azuresolaris
840998341	@baaagh
3290865046	@barbaradvh
414288851	@barbaranajas
135923975	@barcelonascweb
87261554	@barvitantonio
71123010	@basquetmexico
156730241	@batileto
187595465	@baumbogota
2967050109	@bbalvi
253611895	@bbarmerida
717001750130065408	@bbwpromotion
336876865	@beatrizcanom
40793105	@benicamilaa
222324280	@berriel
132758759	@bettho
2192612209	@billysantoroxxx
2473235165	@bimnuy
2377709905	@bjoddls
107864004	@blogdobraian
1172733126	@bloomersbikini
61222431	@blubucaramanga
396117650	@bmthofficial
1472210748	@bogota
117154397	@bolivarsymphony
350950295	@bolovallejo
410861950	@bonicelight
311748616	@borisescorcia1
388012768	@bravopaula09
2442290849	@brazypush
603265155	@brigittepsb
90475043	@brodinsons
247499107	@brooksbeau
180217114	@brownsuugahh
730958661837836288	@brunoascenzo
167626218	@bryanjumbo1
289679934	@bryantmyers
289679934	@bryantmyersarg
334754869	@bubblegumsx
3878575115	@bubblegumsx
351150649	@by
89362124	@cableondasports
458460568	@cademocratico
294419466	@caldasdiego
197973993	@camilapdelgado
300597174	@camilasalazarp
1571238642	@camilat25
135633854	@camiloarteagam
200581004	@camiloarteagam
3094511686	@camiparamo
857385949	@camrennews
1869524413	@canalcdo
263418736	@canaldepanama
151728299	@canaldepanama
151728299	@cancilleriacol
15284940	@candycascante
61222431	@caracolbga
175620407	@carlitosgol86
176184071	@carloscarabali
395647547	@carloscarlinof
164457478	@carlosguardela
348005962	@carlosmdazam
39172496	@carlospezzano
3020185499	@carocabarcas15
466125194	@carogonzalez44
87261554	@caroguillenespn
276026969	@carolinaaristi3
87261554	@carolinapadron
584353966	@carolinevieirr
288076653	@caroplataa
554902897	@carrollcris
395600034	@catatrujillou
1700709246	@causadelucas
2743173766	@cayo1905
157465303	@ceciresistencia
63005608	@cedemocratico
4808228301	@cervantesmaria
404584267	@cervantesmaria
289679934	@cervantesmaria
735504559729168384	@cesaralo
146950784	@cesardmartinez
173342126	@cesarmorenoh
2388133417	@cfbadboybuajaja
425313348	@cgurisattintn24
2192612209	@chamopasivo
337786714	@changofactory
61732880	@chardenass
539936195	@charliejfm
268401029	@chechodarmas
230864298	@chelolm
116824340	@chiche2706
265207699	@chimbovenoso
811695457	@chinoynacho
3361659239	@chorrysalvarez
2603972593	@christianacosta
56257639	@chuotorrealba
204158961	@churodiaz
367365969	@churodiaz
1007217613	@churodiaz
188045070	@churodiaz
575933949	@churodiaz
131912068	@churodiaz
458460568	@cia
57066781	@cinmoraleja
367365969	@cirocf
797725368	@cisner0s
165971852	@cjtah
3761905815	@clararojasg
87261554	@claratamarav
76703470	@clarocolombia
3362648895	@clasbol
3362648895	@clascbbo
191093378	@clocks
3761905815	@clopezanalista
277777156	@cmbustamante
277777156	@cmilanoticia
117154397	@cmilanoticia
217483703	@cncoecuadorvip
217483703	@cncomusic
190765500	@cobarrubiam
2939078896	@codychristianf
81341956	@coffeesight
156008764	@cogeteduro
167049408	@colombiahist
1075267482	@colombianisima
1695127986	@comerperderpeso
71123010	@conade
1869524413	@confsudapatin
40793105	@contandoestrela
214345978	@converse
207565352	@coomotorc
356309419	@coostafer
141373547	@corpoelecinform
1708694126	@corpoeleczulia
807909320	@crackmelodicos
247499107	@crawfordcollins
3878575115	@cristhianleab
931025516	@cristianboby39
247869676	@crizzalberto
325123038	@crtoro
716692642499850242	@csarpereiradiaz
245839834	@culturamde
167636848	@cupcakedetretas
187363862	@custodiodias
331365183	@cvergara23
110030443	@cvstlenova
345517723	@cynthiaviteri6
404584267	@cyuleisy
2389187166	@daanigrr
166028926	@daddyyankee
706900583874215936	@dafevm
2227516212	@daiburigo
939393300	@dalasreview
300876304	@danarrcam
466125194	@danarrcam
231089160	@daniacm98
3735136395	@danicilloniz
898160658	@danielagopo
369758788	@danielalamanm
386185904	@danielayepes22
2603972593	@daniellbautista
2463836414	@danielpsuv
634950417	@danisnotonfire
529044229	@danitorresrojas
2882198099	@dannavipbogota
2192612209	@dannisantoro
194811402	@dant11
4109223265	@dariopoz
82490924	@darlingsoyyo
1172733126	@davidascanio1
238325147	@davidbisbal
213132634	@davidmijail
254277716	@davidpinedal
2612478463	@dayaherrera3
3122975237	@dayanarjs05
4827701994	@dcabellor
87261554	@dchapela
200468038	@ddelaguardia
