A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Delaware,Florida,Margin of Error,87
Delaware,Georgia,Estimate,50
Delaware,Georgia,Margin of Error,39
Delaware,Hawaii,Estimate,4
Delaware,Hawaii,Margin of Error,13
Delaware,Idaho,Estimate,4
Delaware,Idaho,Margin of Error,10
Delaware,Illinois,Estimate,75
Delaware,Illinois,Margin of Error,55
Delaware,Indiana,Estimate,35
Delaware,Indiana,Margin of Error,34
Delaware,Louisiana,Estimate,10
Delaware,Louisiana,Margin of Error,25
Delaware,Maine,Estimate,4
Delaware,Maine,Margin of Error,12
Delaware,Maryland,Estimate,"17,925"
Delaware,Maryland,Margin of Error,849
Delaware,Massachusetts,Estimate,30
Delaware,Massachusetts,Margin of Error,29
Delaware,Michigan,Estimate,30
Delaware,Michigan,Margin of Error,33
Delaware,Minnesota,Estimate,4
Delaware,Minnesota,Margin of Error,2
Delaware,Missouri,Estimate,4
Delaware,Missouri,Margin of Error,11
Delaware,Nebraska,Estimate,15
Delaware,Nebraska,Margin of Error,21
Delaware,Nevada,Estimate,30
Delaware,Nevada,Margin of Error,34
Delaware,New Jersey,Estimate,"5,755"
Delaware,New Jersey,Margin of Error,495
Delaware,New Mexico,Estimate,25
Delaware,New Mexico,Margin of Error,42
Delaware,New York,Estimate,"1,010"
Delaware,New York,Margin of Error,196
Delaware,North Carolina,Estimate,60
Delaware,North Carolina,Margin of Error,75
Delaware,Ohio,Estimate,70
Delaware,Ohio,Margin of Error,50
Delaware,Oklahoma,Estimate,10
Delaware,Oklahoma,Margin of Error,15
Delaware,Oregon,Estimate,10
Delaware,Oregon,Margin of Error,20
Delaware,Pennsylvania,Estimate,"27,895"
Delaware,Pennsylvania,Margin of Error,"1,367"
Delaware,Rhode Island,Estimate,15
Delaware,Rhode Island,Margin of Error,17
Delaware,South Carolina,Estimate,25
Delaware,South Carolina,Margin of Error,26
Delaware,Tennessee,Estimate,45
Delaware,Tennessee,Margin of Error,39
Delaware,Texas,Estimate,110
Delaware,Texas,Margin of Error,101
Delaware,Utah,Estimate,50
Delaware,Utah,Margin of Error,57
Delaware,Vermont,Estimate,20
Delaware,Vermont,Margin of Error,30
Delaware,Virginia,Estimate,895
Delaware,Virginia,Margin of Error,191
